deck_018,Determined,/dɪˈtɝː.mɪnd/,adjective,Having made a firm decision and being resolved not to change it,He is determined to finish the project on time.
deck_001,Abandon,/əˈbæn.dən/,verb,To leave a place or person permanently,They had to abandon the sinking ship.
deck_001,Abstract,/ˈæb.strækt/,adjective,Existing as an idea but not having a physical reality,Truth and beauty are abstract concepts.
deck_001,Bias,/ˈbaɪ.əs/,noun,An unfair personal opinion that influences your judgment,The news report was heavily criticized for its political bias.
deck_001,Capacity,/kəˈpæs.ə.ti/,noun,The total amount that can be contained or produced,The stadium has a seating capacity of 50000.
deck_001,Diverse,/dɪˈvɝːs/,adjective,Including many different types of people or things,New York is a very culturally diverse city.
deck_002,Acquire,/əˈkwaɪɚ/,verb,To get or buy something,The company plans to acquire a smaller software firm.
deck_002,Brief,/briːf/,adjective,Lasting only a short time or containing few words,We had a brief meeting to discuss the new project.
deck_002,Conduct,/kənˈdʌkt/,verb,To organize and perform a particular activity,The researchers will conduct a survey on consumer habits.
deck_002,Draft,/dræft/,noun,A piece of text that is not yet in its final form,This is only the first draft of my proposal.
deck_002,Evaluate,/ɪˈvæl.ju.eɪt/,verb,To judge or calculate the quality or value of something,We need to evaluate the success of the campaign.
deck_003,Asset,/ˈæs.et/,noun,A useful or valuable quality or thing,Knowledge of languages is a real asset in this sort of work.
deck_003,Benchmark,/ˈbentʃ.mɑːrk/,noun,A level of quality that can be used as a standard,Her outstanding performances set a new benchmark for singers.
deck_003,Consensus,/kənˈsen.səs/,noun,A generally accepted opinion or decision among a group,The board members were unable to reach a consensus.
deck_003,Dividend,/ˈdɪv.ə.dend/,noun,A part of a company's profit paid to shareholders,The company will declare a huge dividend this year.
deck_003,Incentive,/ɪnˈsen.t̬ɪv/,noun,Something that encourages a person to do something,Tax incentives have been very effective in encouraging people to save.
deck_004,Baggage,/ˈbæɡ.ɪdʒ/,noun,Bags and cases that you carry with you when you are traveling,Please do not leave your baggage unattended.
deck_004,Customs,/ˈkʌs.təmz/,noun,The place at a port or airport where your bags are checked,We had to open our bags for customs officials.
deck_004,Departure,/dɪˈpɑːr.tʃɚ/,noun,The fact of a person or vehicle leaving somewhere,Our departure was delayed because of bad weather.
deck_004,Landmark,/ˈlænd.mɑːrk/,noun,A building or place that is easily recognized,The Eiffel Tower is a famous landmark in Paris.
deck_004,Souvenir,/ˌsuː.vəˈnɪr/,noun,Something you buy or keep to help you remember a holiday,I bought a model of a red bus as a souvenir of London.
deck_005,Clause,/klɑːz/,noun,A group of words containing a subject and a verb in a sentence,You need to add a relative clause to make the sentence clear.
deck_005,Conjunction,/kənˈdʒʌŋk.ʃən/,noun,A word such as 'and', 'but', or 'because' that connects parts of sentences,The word 'although' is a subordinating conjunction.
